Item Group Name,Parent Item Group,Is Group
Accessoires Femmes,All Item Groups,0
Alcools De Grains,All Item Groups,0
Alcools Et Spiritueux,All Item Groups,0
Aliments Pour Animaux,All Item Groups,0
Aliments Pour Enfants,All Item Groups,0
Amenagement Maison,All Item Groups,0
Aperitifs,All Item Groups,0
Articles Menagers,All Item Groups,0
Auto Exterieur,All Item Groups,0
Auto Interieur,All Item Groups,0
Bagage,All Item Groups,0
Beaute,All Item Groups,0
Beurre,All Item Groups,0
Bien Etre Dietetique Bio,All Item Groups,0
Bieres Et Cidres,All Item Groups,0
Biscuiterie Sucree,All Item Groups,0
Biscuits,All Item Groups,0
Boissons Sans Alcool,All Item Groups,0
Boucherie Ls,All Item Groups,0
Brico Equipement,All Item Groups,0
Bricomaisonjardin,All Item Groups,0
Cadeaux,All Item Groups,0
Cafes Chicorees,All Item Groups,0
Cake,All Item Groups,0
Camping,All Item Groups,0
Capillaires,All Item Groups,0
Cereales,All Item Groups,0
Champagnes Mousseux,All Item Groups,0
Charcuterie Preemballee,All Item Groups,0
Chocolat,All Item Groups,0
Condiments Et Sauces,All Item Groups,0
Confection Enfant,All Item Groups,0
Confection Femme,All Item Groups,0
Conservesverrine,All Item Groups,0
Cremes Fraiches,All Item Groups,0
Cuisson,All Item Groups,0
Cuisson Directe,All Item Groups,0
Cuisson Indirecte,All Item Groups,0
Danesita Butter Cookies 454G,All Item Groups,0
Decoration,All Item Groups,0
Deserts,All Item Groups,0
Desserts,All Item Groups,0
Detente,All Item Groups,0
Dph,All Item Groups,0
Droguerie,All Item Groups,0
Eaux,All Item Groups,0
Electro Menager,All Item Groups,0
Entremets,All Item Groups,0
Entretien,All Item Groups,0
Entretien Auto,All Item Groups,0
Entretien Du Linge,All Item Groups,0
Epicerie,All Item Groups,0
Fleurs Plantes,All Item Groups,0
Fromage Coupe,All Item Groups,0
Fromages Frais,All Item Groups,0
Fromages Libre Service 2,All Item Groups,0
Fruit Et Jus De Fruits,All Item Groups,0
Fruits Et Legumes,All Item Groups,0
Fruits Frais,All Item Groups,0
Fruits Sec,All Item Groups,0
Garnitures De P De Terre,All Item Groups,0
Gateau Assortis,All Item Groups,0
Genoise,All Item Groups,0
Genoise Vegetarian,All Item Groups,0
Glaces,All Item Groups,0
Hygiene Beaute,All Item Groups,0
Hygiene Papier,All Item Groups,0
Hygiene Parfumerie,All Item Groups,0
Interior Car,All Item Groups,0
Jambon Scisson Sec,All Item Groups,0
Jardinerie,All Item Groups,0
Jouet Dete,All Item Groups,0
Jouet Garcon,All Item Groups,0
Jouet Mixte,All Item Groups,0
Jouets Loisirs,All Item Groups,0
Julies Dark Choco Vanille 120G,All Item Groups,0
Jus Et Nectar Fruits Frais,All Item Groups,0
Kracks Potatcrips Orig 160G,All Item Groups,0
Kraft 250G Cheddar Cheese,All Item Groups,0
Lait Frais,All Item Groups,0
Lavage,All Item Groups,0
Legumes Frais,All Item Groups,0
Legumes Surgeles,All Item Groups,0
Librairie,All Item Groups,0
Librairiepapeteriebagage,All Item Groups,0
Liquide,All Item Groups,0
Margarine,All Item Groups,0
Marinades,All Item Groups,0
Menage,All Item Groups,0
Micro Informatique,All Item Groups,0
Oeufs,All Item Groups,0
Pain Ordinaire,All Item Groups,0
Pain Speciaux,All Item Groups,0
Papeterie,All Item Groups,0
Parapharmacie,All Item Groups,0
Patisserie,All Item Groups,0
Patisserie Et Boule Pate,All Item Groups,0
Petit Dejeuner,All Item Groups,0
Plats Cuisines Surgeles,All Item Groups,0
Poissonnerie,All Item Groups,0
Poissons Fde Merescarg,All Item Groups,0
Poissons Frais,All Item Groups,0
Poissons Fumessales,All Item Groups,0
Poissonscrustaces Surgele,All Item Groups,0
Porc Ls,All Item Groups,0
Porc Traditionel,All Item Groups,0
Potages Et Entrees Surgeles,All Item Groups,0
Preparation Alimentaire,All Item Groups,0
Rasage Epilation,All Item Groups,0
Sauce Frais,All Item Groups,0
Saurisserie,All Item Groups,0
Soin Du Linge,All Item Groups,0
Souk,All Item Groups,0
Specialites Indiv A Partager,All Item Groups,0
Stand,All Item Groups,0
Subana Seasons G 2022 B 225G,All Item Groups,0
Support Enregistrement,All Item Groups,0
Surgeles,All Item Groups,0
Tabac 2,All Item Groups,0
Telephonie,All Item Groups,0
Textile,All Item Groups,0
Traiteur Ls,All Item Groups,0
Traiteur Surgeles,All Item Groups,0
Ultra Frais,All Item Groups,0
Viennoiserie,All Item Groups,0
Vins Courant,All Item Groups,0
Volailles Ls,All Item Groups,0
Volailles Traditionelle,All Item Groups,0
Vrac,All Item Groups,0
Ws Tuna 170G Chunks In,All Item Groups,0
Yaourts,All Item Groups,0
