Item Code,Item Name,Item Group,Stock UOM,Is Stock Item,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Rate,Is Purchase Item,Is Sales Item,Brand,Description,Weight Per Unit,Weight UOM,Disabled,Allow Alternative Item
TI_VERGER_MANGO_PUREE_500G,TI VERGER MANGO PUREE 500G,Fruit Et Jus De Fruits,Nos,1,0,0,,34.95,1,1,Winners,TI VERGER MANGO PUREE 500G,500,Gram,0,1
SUMERU_GRATED_COCONUTS_200G,SUMERU GRATED COCONUTS 200G,Fruit Et Jus De Fruits,Nos,1,0,0,,47.95,1,1,Winners,SUMERU GRATED COCONUTS 200G,200,Gram,0,1
SB_FZ_TROPICAL_FRUIT_MIX_1KG,SB FROZEN TROPICAL FRUIT MIX 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,114.5,1,1,Winners,SB FROZEN TROPICAL FRUIT MIX 1KG,1,Kg,0,1
SB_FZ_BLUEBERRY_1KG,SB FROZEN FRUITS BLUEBERRY 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,64.5,1,1,Winners,SB FROZEN FRUITS BLUEBERRY 1KG,1,Kg,0,1
SB_FZ_BERRY_MIX_1KG,SB FROZEN FRUITS BERRY MIX 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,114.5,1,1,Winners,SB FROZEN FRUITS BERRY MIX 1KG,1,Kg,0,1
PINGUIN_STRAWBERRIES_1KG,PINGUIN STRAWBERRIES 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,64.5,1,1,Winners,PINGUIN STRAWBERRIES 1KG,1,Kg,0,1
PINGUIN_MANGO_CHUNKS_1KG,PINGUIN MANGO CHUNKS 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,14.5,1,1,Winners,PINGUIN MANGO CHUNKS 1KG,1,Kg,0,1
PINGUIN_FRUIT_OF_FOREST_1KG,PINGUIN FRUIT OF FOREST 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,9.5,1,1,Winners,PINGUIN FRUIT OF FOREST 1KG,1,Kg,0,1
PINGUIN_BLUEBERRIES_1KG,PINGUIN BLUEBERRIES 1KG,Fruit Et Jus De Fruits,Nos,1,0,0,,49.0,1,1,Winners,PINGUIN BLUEBERRIES 1KG,1,Kg,0,1
EMBORG_STRAWBERRIES_450G,EMBORG STRAWBERRIES 450G,Fruit Et Jus De Fruits,Nos,1,0,0,,14.5,1,1,Winners,EMBORG STRAWBERRIES 450G,450,Gram,0,1
EMBORG_RASPBERRIES_300G,EMBORG RASPBERRIES 300G,Fruit Et Jus De Fruits,Nos,1,0,0,,66.0,1,1,Winners,EMBORG RASPBERRIES 300G,300,Gram,0,1
EMBORG_BLUEBERRIES_400G,EMBORG BLUEBERRIES 400G,Fruit Et Jus De Fruits,Nos,1,0,0,,25.75,1,1,Winners,EMBORG BLUEBERRIES 400G,400,Gram,0,1
BAY_BROAD_BEANS,BAYARA BROAD BEANS,Fruits Et Legumes,Nos,1,0,0,,349.5,1,1,Winners,BAYARA BROAD BEANS,,,0,1
BAY_BRAZIL_NUTS,BAYARA BRAZIL NUTS,Fruits Et Legumes,Nos,1,0,0,,2159.5,1,1,Winners,BAYARA BRAZIL NUTS,,,0,1
BAY_BLACKCURRANTS_DRIED,BAYARA BLACKCURRANTS DRIED,Fruits Et Legumes,Nos,1,0,0,,2229.5,1,1,Winners,BAYARA BLACKCURRANTS DRIED,,,0,1
BAY_BLACK_SEED,BAYARA BLACK SEED,Fruits Et Legumes,Nos,1,0,0,,559.5,1,1,Winners,BAYARA BLACK SEED,,,0,1
BAY_BLACK_PEPPER_WHOLE_ORG,BAYARA BLACK PEPPER WHOLE ORGANIC,Fruits Et Legumes,Nos,1,0,0,,1449.5,1,1,Winners,BAYARA BLACK PEPPER WHOLE ORGANIC,,,0,1
BAY_BLACK_PEPPER_WHOLE,BAYARA BLACK PEPPER WHOLE,Fruits Et Legumes,Nos,1,0,0,,979.5,1,1,Winners,BAYARA BLACK PEPPER WHOLE,,,0,1
BAY_BLACK_PEPPER_CRUSHED,BAYARA BLACK PEPPER CRUSHED,Fruits Et Legumes,Nos,1,0,0,,799.5,1,1,Winners,BAYARA BLACK PEPPER CRUSHED,,,0,1
BAY_BLACK_EYE_BEANS,BAYARA BLACK EYE BEANS,Fruits Et Legumes,Nos,1,0,0,,299.5,1,1,Winners,BAYARA BLACK EYE BEANS,,,0,1
BAY_BIRYANI_MASALA_POWDER,BAYARA BIRYANI MASALA POWDER,Fruits Et Legumes,Nos,1,0,0,,499.5,1,1,Winners,BAYARA BIRYANI MASALA POWDER,,,0,1
BAY_BASIL,BAYARA BASIL,Fruits Et Legumes,Nos,1,0,0,,409.5,1,1,Winners,BAYARA BASIL,,,0,1
BAY_BARLEY,BAYARA BARLEY,Fruits Et Legumes,Nos,1,0,0,,199.5,1,1,Winners,BAYARA BARLEY,,,0,1
BAY_APRICOT_DRIED_ORGANIC,BAYARA APRICOT DRIED ORGANIC,Fruits Et Legumes,Nos,1,0,0,,889.5,1,1,Winners,BAYARA APRICOT DRIED ORGANIC,,,0,1
BAY_APRICOT_DRIED_JUMBO,BAYARA APRICOT DRIED JUMBO,Fruits Et Legumes,Nos,1,0,0,,829.5,1,1,Winners,BAYARA APRICOT DRIED JUMBO,,,0,1
BAY_ANISEEDS,BAYARA ANISEEDS,Fruits Et Legumes,Nos,1,0,0,,0.0,1,1,Winners,BAYARA ANISEEDS,,,0,1
BAY_ALMONDS_SALTED_JUMBO,BAYARA ALMONDS SALTED JUMBO,Fruits Et Legumes,Nos,1,0,0,,959.5,1,1,Winners,BAYARA ALMONDS SALTED JUMBO,,,0,1
BAY_ALMOND_SLIVERED,BAYARA ALMONDOND SLIVERED,Fruits Et Legumes,Nos,1,0,0,,1039.5,1,1,Winners,BAYARA ALMONDOND SLIVERED,,,0,1
BAY_ALMOND_SLICED,BAYARA ALMONDOND SLICED,Fruits Et Legumes,Nos,1,0,0,,869.5,1,1,Winners,BAYARA ALMONDOND SLICED,,,0,1
BAY_ALMOND_POWDER,BAYARA ALMONDOND POWDER,Fruits Et Legumes,Nos,1,0,0,,809.5,1,1,Winners,BAYARA ALMONDOND POWDER,,,0,1
BAY_ALMOND_ORGANIC,BAYARA ALMONDOND ORGANIC,Fruits Et Legumes,Nos,1,0,0,,1919.5,1,1,Winners,BAYARA ALMONDOND ORGANIC,,,0,1
BAY_ALMOND_JUMBO,BAYARA ALMONDOND JUMBO,Fruits Et Legumes,Nos,1,0,0,,919.5,1,1,Winners,BAYARA ALMONDOND JUMBO,,,0,1
BAY_ALMOND_ROAST_UNSALT_MED,BAYARA ALMOND ROAST UNSALTED MEDIUM,Fruits Et Legumes,Nos,1,0,0,,899.5,1,1,Winners,BAYARA ALMOND ROAST UNSALTED MEDIUM,,,0,1
BAY_ALMOND_CHOPPED,BAYARA ALMOND CHOPPED,Fruits Et Legumes,Nos,1,0,0,,759.5,1,1,Winners,BAYARA ALMOND CHOPPED,,,0,1
POIRE_BCHRETIEN_SACHET1KG_SKC,POIRE BON CHRETIEN SACHET1KG SKC,Fruits Frais,Nos,1,0,0,,79.9,1,1,Winners,POIRE BON CHRETIEN SACHET1KG SKC,1,Kg,0,1
POIRE_BCHRETIEN_PUN_750G_SKC,POIRE BON CHRETIEN PUNNET 750G SKC,Fruits Frais,Nos,1,0,0,,64.9,1,1,Winners,POIRE BON CHRETIEN PUNNET 750G SKC,750,Gram,0,1
POIRE_BCHRETIEN_PUN_750G_RFF,POIRE BON CHRETIEN PUNNET 750G RFF,Fruits Frais,Nos,1,0,0,,79.9,1,1,Winners,POIRE BON CHRETIEN PUNNET 750G RFF,750,Gram,0,1
POIRE_BON_CHRETIEN_PREPACK,POIRE BON CHRETIEN PREPACK,Fruits Frais,Nos,1,0,0,,125.9,1,1,Winners,POIRE BON CHRETIEN PREPACK,,,0,1
POIRE_BEUBOSCH_SACHET_750G_RFF,POIRE BEURRE BOSCH SACHET 750G RFF,Fruits Frais,Nos,1,0,0,,89.9,1,1,Winners,POIRE BEURRE BOSCH SACHET 750G RFF,750,Gram,0,1
POIRE_BEURRE_BOSCH_PUN_RFF,POIRE BEURRE BOSCH PUNNET RFF,Fruits Frais,Nos,1,0,0,,69.9,1,1,Winners,POIRE BEURRE BOSCH PUNNET RFF,,,0,1
POIRE_BEURRE_BOSCH_PREPACK,POIRE BEURRE BOSCH PREPACK,Fruits Frais,Nos,1,0,0,,119.9,1,1,Winners,POIRE BEURRE BOSCH PREPACK,,,0,1
POIRE_BEURRE_BOSCH_BAR,POIRE BEURRE BOSCH BAR,Fruits Frais,Nos,1,0,0,,125.9,1,1,Winners,POIRE BEURRE BOSCH BAR,,,0,1
POIRE_BEURRE_BOSCH_70_90_96_45,POIRE BEURRE BOSCH (70/80),Fruits Frais,Nos,1,0,0,,121.9,1,1,Winners,POIRE BEURRE BOSCH (70/80),,,0,1
POIRE__BON_CHRETIEN_60_70,POIRE BON CHRETIEN (70/80),Fruits Frais,Nos,1,0,0,,145.9,1,1,Winners,POIRE BON CHRETIEN (70/80),,,0,1
PECHE_PLAT_PUN_750G_RFF,PECHE PLAT PUNNET 750G RFF,Fruits Frais,Nos,1,0,0,,109.9,1,1,Winners,PECHE PLAT PUNNET 750G RFF,750,Gram,0,1
PAMPLEMOUSSE_LOCAL_PCS,PAMPLEMOUSSE LOCALE,Fruits Frais,Nos,1,0,0,,69.95,1,1,Winners,PAMPLEMOUSSE LOCALE,,,0,1
ORANGE_CARACARA_X_3_SURAT,ORANGE CARACARA X 3 SURAT,Fruits Frais,Nos,1,0,0,,89.95,1,1,Winners,ORANGE CARACARA X 3 SURAT,,,0,1
ORANGE_CARA_CARA_FILLET_1KG,ORANGE CARACARA FILLET 1KG,Fruits Frais,Nos,1,0,0,,9.5,1,1,Winners,ORANGE CARACARA FILLET 1KG,1,Kg,0,1
MINEOLAS_FILLET,MINEOLAS FILLET,Fruits Frais,Nos,1,0,0,,64.9,1,1,Winners,MINEOLAS FILLET,,,0,1
MELON_PIEL_DE_SAPO,MELON PIEL DE SAPO,Fruits Frais,Nos,1,0,0,,221.9,1,1,Winners,MELON PIEL DE SAPO,,,0,1
MELON_JAUNE_CUBE,MELON JAUNE CUBE,Fruits Frais,Nos,1,0,0,,319.9,1,1,Winners,MELON JAUNE CUBE,,,0,1
MAURIGAP_POMELO,MAURIGAP POMELO,Fruits Frais,Nos,1,0,0,,44.9,1,1,Winners,MAURIGAP POMELO,,,0,1
