Item Code,Price List,Price List Rate,Currency
TI_VERGER_MANGO_PUREE_500G,Standard Selling,34.95,MUR
SUMERU_GRATED_COCONUTS_200G,Standard Selling,47.95,MUR
SB_FZ_TROPICAL_FRUIT_MIX_1KG,Standard Selling,114.5,MUR
SB_FZ_BLUEBERRY_1KG,Standard Selling,64.5,MUR
SB_FZ_BERRY_MIX_1KG,Standard Selling,114.5,MUR
PINGUIN_STRAWBERRIES_1KG,Standard Selling,64.5,MUR
PINGUIN_MANGO_CHUNKS_1KG,Standard Selling,14.5,MUR
PINGUIN_FRUIT_OF_FOREST_1KG,Standard Selling,9.5,MUR
PINGUIN_BLUEBERRIES_1KG,Standard Selling,49.0,MUR
EMBORG_STRAWBERRIES_450G,Standard Selling,14.5,MUR
EMBORG_RASPBERRIES_300G,Standard Selling,66.0,MUR
EMBORG_BLUEBERRIES_400G,Standard Selling,25.75,MUR
BAY_BROAD_BEANS,Standard Selling,349.5,MUR
BAY_BRAZIL_NUTS,Standard Selling,2159.5,MUR
BAY_BLACKCURRANTS_DRIED,Standard Selling,2229.5,MUR
BAY_BLACK_SEED,Standard Selling,559.5,MUR
BAY_BLACK_PEPPER_WHOLE_ORG,Standard Selling,1449.5,MUR
BAY_BLACK_PEPPER_WHOLE,Standard Selling,979.5,MUR
BAY_BLACK_PEPPER_CRUSHED,Standard Selling,799.5,MUR
BAY_BLACK_EYE_BEANS,Standard Selling,299.5,MUR
BAY_BIRYANI_MASALA_POWDER,Standard Selling,499.5,MUR
BAY_BASIL,Standard Selling,409.5,MUR
BAY_BARLEY,Standard Selling,199.5,MUR
BAY_APRICOT_DRIED_ORGANIC,Standard Selling,889.5,MUR
BAY_APRICOT_DRIED_JUMBO,Standard Selling,829.5,MUR
BAY_ALMONDS_SALTED_JUMBO,Standard Selling,959.5,MUR
BAY_ALMOND_SLIVERED,Standard Selling,1039.5,MUR
BAY_ALMOND_SLICED,Standard Selling,869.5,MUR
BAY_ALMOND_POWDER,Standard Selling,809.5,MUR
BAY_ALMOND_ORGANIC,Standard Selling,1919.5,MUR
BAY_ALMOND_JUMBO,Standard Selling,919.5,MUR
BAY_ALMOND_ROAST_UNSALT_MED,Standard Selling,899.5,MUR
BAY_ALMOND_CHOPPED,Standard Selling,759.5,MUR
POIRE_BCHRETIEN_SACHET1KG_SKC,Standard Selling,79.9,MUR
POIRE_BCHRETIEN_PUN_750G_SKC,Standard Selling,64.9,MUR
POIRE_BCHRETIEN_PUN_750G_RFF,Standard Selling,79.9,MUR
POIRE_BON_CHRETIEN_PREPACK,Standard Selling,125.9,MUR
